Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc0181,Andrew Hill,Passing Ships,"Andrew Hill, et al",Ogg Vorbis -q 8,New York Public Library,2008-06-05,jazz 1960s,
mc0182,John Coltrane,A Love Supreme: The Complete Masters,"John Coltrane Quartet, Archie Shepp",FLAC,BitTorrent,2016-12-26,jazz 1960s,
mc0183,Arnold Schoenberg,"Chamber Symphony no. 2, op. 38; Verklärte Nacht, op. 4; Accompaniment to a Cinematographic Scene, op. 34","Ulster Orchestra, Takuo Yuasa",Ogg Vorbis -q 5,New York Public Library,2009-08-10,modern 20th-century orchestral,Notes need fixing.
mc0184,Guillaume Dufay,Missa l'Homme armé; Motets,"Oxford Camerata, Jeremy Summerly",FLAC,New York Public Library,2008-06-30,choral 15th-century masses motets,
mc0185,"Giovanni Pierluigi Palestrina, Girolamo Cavazzoni",Missa l'Homme armé; Organ Ricercari,"Soloists of the Cappella Musicale di St. Petronio di Bologna, Sergio Vartolo",Ogg Vorbis -q 5,New York Public Library,2008-06-30,16th-century choral masses organ,
mc0186,Maurice Ravel,Songs,"Ensemble InterContemporain, BBC Symphony, Pierre Boulez",Ogg Vorbis -q 5,Bakalar Library,2008-11-07,19th-century songs orchestral,
mc0187,Bob Dylan,Time Out of Mind,"Bob Dylan, et al",FLAC,BitTorrent,2016-04-28,rock 1990s blues,
mc0188,Wayne Shorter,Etcetera,"Wayne Shorter, et al",Ogg Vorbis -q 5,New York Public Library,2008,jazz 1960s blue-note,
mc0189,Ludwig van Beethoven,The Piano Sonatas,Vladimir Ashkenazy,Ogg Vorbis -q 5,BitTorrent,2009,19th-century piano solo sonatas,
mc0190,Ella Fitzgerald & Count Basie,A Classy Pair,"Ella Fitzgerald, Count Basie, Count Basie Orchestra",FLAC,BitTorrent,2013-01-30,jazz 1970s big-band,Needs INFO file.
mc0191,Christian Wolff,10 Exercises,Various,Ogg Vorbis -q 5,New York Public Library,2008-08-05,contemporary 20th-century,
mc0192,Morton Feldman,Crippled Symmetry,The California EAR Unit,Ogg Vorbis -q 5,New York Public Library,2008,contemporary 20th-century,
mc0193,John Cage,One⁸,Michael Bach,Ogg Vorbis -q 5,New York Public Library,2008,contemporary solo cello,
mc0194,Gustav Mahler,Symphony no. 6,"Wiener Philharmoniker, Claudio Abbado",Ogg Vorbis -q 5,Bakalar Library,2008-10-11,19th-century orchestral symphonies,
mc0195,Bill Evans & Claus Olgerman,Symbiosis,"Bill Evans, et al",FLAC,Download,2011-12,jazz 1970s orchestral,
mc0196,Woody Shaw,Blackstone Legacy,"Woody Shaw, et al",FLAC,Download,2011-12,jazz 1970s,
mc0197,William Byrd,Mass For Four Voices; Motets,Quink Vocal Ensemble,Ogg Vorbis -q 5,Bakalar Library,2008-10-13,16th-century choral masses motets,
mc0198,Cypriano de Rore,St. John Passion,"Huelgas Ensemble, Paul van Nevel",Ogg Vorbis -q 5,Bakalar Library,2008-10-13,16th-century choral passions,
mc0200,Peter Ilyich Tchaikovsky,"String Quartet no. 1, op. 11",Amadeus Quartet,Ogg Vorbis -q 5,New York Public Library,2010-06-08,19th-century string-quartets chamber,split from compilation
mc0201,Grachan Moncur III,Evolution,"Grachan Moncur III, et al",FLAC,Download,2011-12,jazz 1960s blue-note,
mc0202,Erik Satie,Orchestral Works,"Orchestre du Capitole de Toulouse, Michel Plasson, et al",Ogg Vorbis -q 5,New York Public Library,2009-06-04,19th-century 20th-century orchestral orchestrations,
mc0203,Johannes Brahms,Piano Concerti nos. 1 & 2,"Gewandhausorchester Leipzig, Philharmonia Orchestra, Elisabeth Leonskaja, Eliahu Inbal, Kurt Masur",Ogg Vorbis -q 5,New York Public Library,2009-06-02,19th-century concerti piano orchestral,
mc0204,John Cage,Four Walls; Soliloquy; 3 Easy Pieces,Haydée Schvartz & Jack Bruce,Ogg Vorbis -q 5,New York Public Library,2009-06-04,20th-century chamber solo,
mc0205,Charles Mingus,Tijuana Moods,"Charles Mingus, et al",Ogg Vorbis -q 5,New York Public Library,2010-06-09,jazz 1960s,
mc0206,Domenico Scarlatti,"Missa Breve ""La Stella""; Stabat Mater; etc.","The Sixteen, Harry Christophers",Ogg Vorbis -q 5,New York Public Library,2010-06-09,18th-century choral,
mc0207,Leonin; Perotin; Anonymous,Sacred Music From Notre-Dame,Tonus Peregrinus,Ogg Vorbis -q 5,New York Public Library,2009-06-04,medieval 12th-century 13th-century choral chants,
mc0208,Lukas Foss,Complete Works for Solo Piano,Scott Dunn,Ogg Vorbis -q 5,New York Public Library,2009-06-04,20th-century piano solo,
mc0209,Orlando Gibbons,Tudor Church Music,"The Choir of King's College, Cambridge; John Butt",Ogg Vorbis -q 5,New York Public Library,2009-06-05,17th-century choral,
mc0210,Elmore James,Blues Masters: The Very Best of Elmore James,"Elmore James, et al",Ogg Vorbis -q 5,New York Public Library,2010-06-09,blues 1950s compilations,
mc0211,"Evan Parker and Sainkho Namtchylak",Mars Song,"Evan Parker and Sainkho Namtchylak",Ogg Vorbis -q 5,New York Public Library,2010-06-09,contemporary improvisation live 1990s,Needs INFO file.
mc0212,Louis Andriessen,Rosa: The Death of a Composer,"Schönberg Ensemble, Asko Ensemble, Reinbert de Leeuw",Ogg Vorbis -q 5,New York Public Library,2010-06-08,contemporary opera,
mc0213,Nine Inch Nails,Pretty Hate Machine,Nine Inch Nails,Ogg Vorbis -q 5,New York Public Library,2010-06-08,rock industrial 1980s,Needs INFO file.
mc0214,Alan Hovhaness,"Symphony no. 60, Guitar Concerto, Khrimian Hairig","Berlin Radio Symphony Orchestra, Gerard Schwarz, et al",FLAC,Monroe County Library,2024-03-03,20th-century orchestral symphonies concertos naxos,
mc0215,Sonny Rollins,Sonny Meets Hawk!; 3 In Jazz,"Sonny Rollins, Coleman Hawkins, et al",Ogg Vorbis -q 5,New York Public Library,2010-06-02,jazz 1960s,Needs INFO file.
mc0216,Ornette Coleman,Beauty Is a Rare Thing: The Complete Atlantic Recordings,"Ornette Coleman, et al",Ogg Vorbis -q 5,New York Public Library,2010-06-09,jazz 1950s 1960s box-sets,
mc0217,"André Campra, François Couperin",Petits Motets,"Les Arts Florissants, William Christie, Paul Agnew, et al",Ogg Vorbis -q 5,New York Public Library,2010-06-03,17th-century choral motets,
mc0218,Ludwig van Beethoven,Die Klaviersonaten,Wilhelm Kempff,FLAC,BitTorrent,2013-07-17,19th-century piano solo sonatas box-sets,
mc0219,Alfred Schnittke,Orchestral Works; Faust Cantata,"Malmö Symphony Orchestra & Chorus, James DePriest",Ogg Vorbis -q 5,New York Public Library,2010-06-03,contemporary orchestral choral cantatas 20th-century,
mc0220,Ornette Coleman,Something Else!!!,"Ornette Coleman, et al",Ogg Vorbis -q 5,New York Public Library,2009-06-02,jazz 1950s,
mc0221,Alexander Borodin,Symphony no. 2 (two versions),"Radio-Sinfonieorchester Stuttgart, NBC Symphony Orchestra, Carlos Kleiber, Erich Kleiber",Ogg Vorbis -q 5,New York Public Library,2010-06-03,19th-century orchestral symphonies,
mc0222,Steve Lacy,Sands,Steve Lacy & Irene Aebi,Ogg Vorbis -q 5,New York Public Library,2009-06-04,contemporary jazz 1990s,
mc0223,Alessandro Scarlatti,Oratorio per la Santissima Trinità,"Alessandro Stradella Consort, Estevan Velardi, et al",Ogg Vorbis -q 5,New York Public Library,2010-06-01,18th-century baroque oratorios,
mc0224,Giovanni Pierluigi da Palestrina,Missa Viri Galilaei,"Ensemble Organum, La Chapelle Royale, Philippe Herreweghe",MP3 320k,BitTorrent,2013-07-18,16th-century masses choral,Track 1 missing.  Needs INFO file.
mc0225,Wolfgang Amadeus Mozart,Violin Concerti,"English Consort, Andrew Manze",Ogg Vorbis -q 5,New York Public Library,2010-06-02,18th-century concerti orchestral,
mc0226,Ella Fitzgerald,Best of the BBC Vaults,"Ella Fitzgerald, et al",FLAC,BitTorrent,2013-01-30,jazz compilation big-band vocal-jazz,
mc0227,Johann Sebastian Bach,Six Partitas,András Schiff,FLAC,BitTorrent,2013-11-07,18th-century solo piano live,
mc0228,Archie Shepp,Four for Trane,"Archie Shepp, et al",Ogg Vorbis -q 5,New York Public Library,2009-06-07,jazz 1960s,
mc0229,Charles Mingus,Pithecanthropus Erectus,"Charles Mingus, et al",Ogg Vorbis -q 5,New York Public Library,2009-06-05,jazz 1960s,
mc0230,George Frideric Handel,Suites Pour Clavecin,Kenneth Gilbert,Ogg Vorbis -q 5,New York Public Library,2010-06-02,18th-century solo harpsichord suites,
mc0231,Ludwig van Beethoven,Complete Symphonies; Overtures,"Chicago Symphony Orchestra, Georg Solti, et al",FLAC,BitTorrent,2013-07-18,19th-century orchestral symphonies overtures box-sets,
mc0232,Ludwig van Beethoven,"29 Piano Sonatas; Variations, op. 35",Emil Gilels,FLAC,BitTorrent,2013-07-23,19th-century piano solo sonatas box-sets,
mc0233,Ella Fitzgerald,Get Happy!,"Ella Fitzgerald, et al",FLAC,BitTorrent,2012-07-18,jazz vocal-jazz,
mc0234,Gustav Mahler,"Complete Symphonies, etc.","New York Philharmonic, Leonard Bernstein, et al",FLAC,BitTorrent,2013-07-24,19th-century orchestral symphonies box-sets,
mc0235,Christopher Tye,Three Masses,"Ely Cathedral Choir, Paul Trepte",Ogg Vorbis -q 5,New York Public Library,2009-06-07,16th-century choral masses,
mc0236,Stefan Wolpe,Passacaglia; First Recordings,"David Tudor, et al",Ogg Vorbis -q 5,New York Public Library,2010-05-26,20th-century chamber solo piano,
mc0237,Morton Feldman,Three Voices,Ensemble Accroche Note,Ogg Vorbis -q 5,New York Public Library,2010-05-26,contemporary vocal chamber,
mc0238,Lukas Foss,"Elegy For Anne Frank, etc.",Various,Ogg Vorbis -q 5,New York Public Library,2010-05-29,20th-century orchestral chamber compilations,
mc0239,Jean-Philippe Rameau,Grands Motets,"La Chapelle Royale, Collegium Vocale, Philippe Herreweghe, et al",Ogg Vorbis -q 5,New York Public Library,2010-06-01,18th-century choral,
mc0240,Claudio Monteverdi,"Madrigali Guerrieri et Amorosi: Libro VIII Integrale (Madrigals, Book 8 complete)","Concerto Italiano, Rinaldo Alessandrini",Ogg Vorbis -q 5,New York Public Library,2009-06-09,17th-century vocal madrigals chamber,
mc0241,Alvin Lucier,Early Works,Various,Ogg Vorbis -q 5,New York Public Library,2008,contemporary 20th-century,
mc0242,Alvin Lucier,Panorama,Various,Ogg Vorbis -q 5,New York Public Library,2008,contemporary 20th-century compilation,
mc0243,Various,"An Anthology of Noise and Electronic Music, Vol. 2",Various,FLAC,New York Public Library,2008,compilation electronic 20th-century 21st-century,
mc0244,Edgard Varèse,Complete Works,"Riccardo Chailly, et al",Ogg Vorbis -q 5,New York Public Library,2009-06-17,20th-century modern orchestral electroacoustic complete-editions,
mc0245,Henry Purcell,The Fairy Queen; The Prophetess,"Le Concert des Nations, Jordi Savall",Ogg Vorbis -q 5,New York Public Library,2010-05-25,17th-century orchestral suites,
mc0246,Ensemble Nipponia,Traditional Music Of Japan,Ensemble Nipponia,Ogg Vorbis -q 5,New York Public Library,2009-06-05,japanese chamber,Needs INFO file.
mc0247,John Coltrane,Ascension,"John Coltrane, et al",Ogg Vorbis -q 5,New York Public Library,2009-05-11,jazz 1960s big-band,
mc0248,Ornette Coleman Trio,"At The ""Golden Circle"", Vol. 1","Ornette Coleman, David Izenzon, Charles Moffett",Ogg Vorbis -q 5,New York Public Library,2008,jazz 1960s live,
mc0249,Ornette Coleman Trio,"At The ""Golden Circle"", Vol. 2","Ornette Coleman, David Izenzon, Charles Moffett",FLAC,BitTorrent,2015-12-22,jazz 1960s live,
mc0250,"Jacob Obrecht, Johannes Martini",Missa Malheur me bat; Motets,"The Clerks' Group, Edward Wickham",Ogg Vorbis -q 5,New York Public Library,2010-05-25,15th-century choral masses motets,
mc0251,György Ligeti,Vocal Works,Various,Ogg Vorbis -q 5,New York Public Library,2009-06-05,contemporary 20th-century vocal choral,
mc0252,Henri Pousseur,La Guirlande de Pierre,"Frederic Rzewski, Marianne Pousseur, Vincent Bouchot",Ogg Vorbis -q 5,New York Public Library,2010-05-27,1990s 20th-century chamber,
mc0253,Igor Stravinsky,Orchestral Works,"City of Birmingham Symphony Orchestra, Simon Rattle",Ogg Vorbis -q 5,New York Public Library,2009-06-15,modern 20th-century orchestral,
mc0254,John Cage,The Seasons [and other works],"American Composers Orchestra, Margaret Leng Tan, Dennis Russell Davies",Ogg Vorbis -q 5,New York Public Library,2009-06-15,20th-century orchestral concerti piano suites,
mc0255,Ensemble Gille Binchois,Les Premières Polyphonies Françaises,"Ensemble Gille Binchois, Dominique Vellard",Ogg Vorbis -q 5,New York Public Library,2009-05-17,medieval choral motets,
mc0256,Johann Sebastian Bach,Brandenburg Concertos,"Le Concert des Nations, Jordi Savall",FLAC,RPL,2020-01-25,18th-century concerti baroque,
mc0258,Andrew Hill,Grass Roots,"Andrew Hill, et al",Ogg Vorbis -q 5,New York Public Library,2008,jazz 1960s,
mc0259,Heitor Villa-Lobos,Complete Works For Guitar,Norbert Kraft,FLAC,BitTorrent,2022-11-22,20th-century guitar solo naxos,
mc0260,Giovanni Pierluigi da Palestrina,Missa Brevis; Missa Nasce la gioja mia,"The Tallis Scholars, Peter Phillips",Ogg Vorbis -q 5,New York Public Library,2010-06-01,16th-century masses choral,
mc0261,Franz Schubert,Nachtgesang,"RIAS-Kammerchor, Scharoun Ensemble, Marcus Creed, et al",Ogg Vorbis -q 5,New York Public Library,2010-05-26,19th-century choral songs orchestral,
mc0262,Franz Liszt,Works for Piano,"Earl Wild, David Wilde, Sylvia Kersenbaum",Ogg Vorbis -q 5,New York Public Library,2010-05-28,19th-century piano solo compilations,
mc0263,François Couperin,Les Concerts Royaux,Le Concert des Nations,Ogg Vorbis -q 5,New York Public Library,2010-05-25,,
mc0264,"François Couperin, Henry Purcell, Jeremiah Clarke","Leçons de ténèbres, etc.","Concerto Vocale, René Jacobs",Ogg Vorbis -q 5,New York Public Library,2010-06-02,17th-century choral baroque,
mc0265,Francis Poulenc,Musique pour choeur a cappella,"RIAS-Kammerchor, Daniel Reuss",Ogg Vorbis -q 5,New York Public Library,2010-06-01,modern 20th-century choral,
mc0266,Johann Sebastian Bach,Brandenburg Concerti,"Concerto Italiano, Rinaldo Alessandrini",FLAC,RPL,2013-10-26,,
mc0267,Felix Mendelssohn,Elias,"Collegium Vocale, La Chapelle Royale, Orchestre des Champs-Elysées, Philippe Herreweghe, et al",Ogg Vorbis -q 5,New York Public Library,2010-05-28,19th-century oratorios,
mc0268,Franz Schubert,"Complete String Quartets (4 volumes)",Kodály Quartet,Ogg Vorbis -q 5,New York Public Library,2009-06-03,19th-century string-quartet chamber,
mc0269,Johann Sebastian Bach,"Chromatic Fantasia & Fugue, etc.",Kenneth Gilbert,FLAC,BitTorrent,2016-09-03,18th-century solo harpsichord,
mc0270,Johann Sebastian Bach,Musicalisches Opfer,"Barthold Kuijken, Sigiswald Kuijken, Wieland Kuijken, Robert Kohnen",FLAC,BitTorrent,2016-09-03,18th-century arrangements chamber,
mc0271,Johann Sebastian Bach,"Sonatas For Violin & Harpsichord, BWV 1014--1019; etc.","Viktoria Mullova, Ottavio Dantone, et al",FLAC,BitTorrent,2016-09-03,18th-century chamber sonatas baroque,
mc0272,Cristóbal de Morales,"Officium Defunctorum; Missa pro Defunctis","La Capella Reial de Catalunya; Hespèrion XX, Jordi Savall",Ogg Vorbis -q 5,New York Public Library,2010-05-25,16th-century choral masses requiems,
mc0273,Tom Waits,Franks Wild Years,"Tom Waits, et al",FLAC,BitTorrent,2016-04-15,rock 1980s,
mc0274,Johann Sebastian Bach,"Concerti BWV 1044, 1060R, and 1052","Collegium Aureum, Gustav Leonhardt, et al",Ogg Vorbis -q 5,New York Public Library,2009-06-05,18th-century concerti baroque,
mc0275,Tom Waits,Rain Dogs,"Tom Waits, et al",FLAC,BitTorrent,2016-04-15,rock 1980s,
mc0276,Claudio Monteverdi,"Zefiro Torna: Complete Duets, Vol. 1","Il Complesso Barocco, Alan Curtis",Ogg Vorbis -q 5,New York Public Library,2010-05-28,17th-century chamber vocal,
mc0277,Bill Evans,The Bill Evans Album,"Bill Evans, Eddie Gomez, Marty Morell",FLAC,BitTorrent,2016-09-03,jazz 1970s,
mc0278,Art Blakey & The Jazz Messengers,Mosaic,The Jazz Messengers,FLAC,BitTorrent,2016-09-03,jazz 1960s,
mc0279,John Coltrane,Expression,"John Coltrane, et al",FLAC,BitTorrent,2018-01-30,jazz 1960s,
mc0280,Joseph Haydn,"String Quartets, op. 20",Kodály Quartet,Ogg Vorbis -q 5,New York Public Library,2009-06-03 & 2010-06-26,18th-century chamber string-quartets,
mc0281,Joseph Haydn,"String Quartets, op. 50, nos. 4--6",Kodály Quartet,Ogg Vorbis -q 5,New York Public Library,2009-06-16,18th-century chamber string-quartets,
mc0282,Luciano Berio,Sinfonia; Eindrücke,"Orchestre National de France, Pierre Boulez, et al",Ogg Vorbis -q 5,New York Public Library,2009-06-18,orchestral modern 20th-century,
mc0283,Paul Simon,Graceland,"Paul Simon, et al",FLAC,Personal collection,2023-06-20,rock south-africa 1980s,
mc0284,Arnold Schoenberg,String Quartets,Arditti String Quartet,FLAC,New York Public Library,2010-05-27,modern 20th-century string-quartets chamber,
mc0285,Caspar Joseph Mertz,Barden-Klänge (selections),Graziano Salvoni,FLAC,BitTorrent,2022-10-14,19th-century guitar solo brilliant-classics,
mc0286,Bill Evans,"Consecration: The Final Recordings, Part II","Bill Evans, Marc Johnson, Joe LaBarbera",FLAC,BitTorrent,2013-08-23,jazz 1980s live,
mc0287,Luciano Berio,The String Quartets,Arditti String Quartet,Ogg Vorbis -q 5,New York Public Library,2009-06-15,modern 20th-century string-quartets,Needs INFO file.
mc0288,Ludwig van Beethoven,"The Piano Concertos; 6 Bagatelles, op. 126","Chicago Symphony Orchestra, Vladimir Ashkenazy, Georg Solti",Ogg Vorbis -q 5,New York Public Library,2009-06-18,19th-century concerti piano,granulepos warnings when decoding Ogg; no playback issues.
mc0289,Claudio Monteverdi,Vespro della Beata Vergine; Missa In illo tempore,"Bach Collegium Japan, Concerto Palatino, Masaaki Suzuki",FLAC,BitTorrent,2023-02-15,choral 17th-century bis,
mc0290,Miles Davis,The Cellar Door Sessions,"Miles Davis, et al",Ogg Vorbis -q 5,New York Public Library,2009-06-10 & 11,jazz fusion 1970s live,
mc0291,Thomas Tallis,"Lamentations, Motets, String Music",The Theatre Of Voices,Ogg Vorbis -q 5,New York Public Library,2009-06-10,16th-century motets choral chamber,Needs INFO file.
mc0292,Various,"Court Gamelan, Vol. 3",Various,Ogg Vorbis -q 5,New York Public Library,2009-06-19,indonesian gamelan,Needs INFO file.
mc0293,Johann Sebastian Bach,Harpsichord Concerti BWV 1053--1057,"Leonhardt-Consort, Gustav Leonhardt, Frans Brüggen, Jeanette van Wingerden",Ogg Vorbis -q 5,New York Public Library,2009-06-19,18th-century concerti harpsichord,
mc0294,Joachim Bernhard Hagen,Solo Works For Lute,Robert Barto,Ogg Vorbis -q 5,New York Public Library,2010-05-25,18th-century solo lute,
mc0295,Hanns Eisler,Lieder,Irmgard Arnold & Andre Asriel,Ogg Vorbis -q 5,New York Public Library,2010-05-25,modern 20th-century songs chamber,Needs INFO file.
mc0296,Joseph Haydn,The Paris Symphonies (nos. 82--87),"Concentus Musicus Wien, Nikolaus Harnoncourt",Ogg Vorbis -q 5,New York Public Library,2009-06-19,18th-century symphonies,
mc0297,Johann Sebastian Bach,"Suites anglaises nos. 2 & 6, Concerto italien",Pierre Hantaï,FLAC,BitTorrent,2020-01-28,harpsichord solo 18th-century suites,
mc0298,Duke Ellington,Far East Suite,Duke Ellington Orchestra,Ogg Vorbis -q 5,New York Public Library,2010-05-19,jazz 1960s big-band,
mc0300,The Miles Davis Quintet,Cookin',Miles Davis First Quintet,FLAC,BitTorrent,2017-04-28,jazz 1950s prestige,
mc0303,The Miles Davis Quintet,Steamin',Miles Davis First Quintet,FLAC,BitTorrent,2017-04-28,jazz 1950s prestige,
mc0304,Charlie Parker,A Studio Chronicle,"Charlie Parker, et al",FLAC,BitTorrent,2011 or 2012,jazz 1940s box-sets jsp,
mc0305,Johann Sebastian Bach,"The Well-Tempered Clavier, Book 1",Friedrich Gulda,Ogg Vorbis -q 5,New York Public Library,2009-08-16,18th-century preludes fugues solo piano,
mc0306,Artur Schnabel,Chamber Music,"Pellegrini Quartett, Ravinia Trio, Benedikt Koehlen",Ogg Vorbis -q 5,New York Public Library,2010-06-12,modern 20th-century chamber,
