Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc0975,Hector Berlioz,Oeuvres pour choeur,"Choeurs de L'Orchestre de Lyon, Bernard Tetu",Ogg Vorbis -q 5,Bakalar Library,2009-04-08,choral 19th-century,
mc0976,Richard Strauss,"Eine Alpensinfonie, op. 64","Concertgebouw Orchestra Amsterdam, Bernard Haitink",Ogg Vorbis -q 5,Bakalar Library,2009-04-08,orchestral symphonies 20th-century,
mc0977,"Franz Schubert, Robert Schumann","Messe, D 167; Requiem für Mignon, op. 98b","Chamber Orchestra of Europe, Claudio Abbado",Ogg Vorbis -q 5,Bakalar Library,2009-04-08,masses orchestral 19th-century,
mc0978,Sun Ra,On Jupiter,"Sun Ra, Intergalactic Myth Science Solar Arkestra",FLAC,BitTorrent,2016-09-19,1970s jazz free-jazz,
mc0979,"Carl Maria von Weber, Richard Strauss",Horn Concertos,"Chamber Orchestra of Europe, Claudio Abbado",Ogg Vorbis -q 5,Bakalar Library,2009-04-08,concertos 20th-century 19th-century,
mc0980,Béla Bartók,Concertos,Various,Ogg Vorbis -q 5,New York Public Library,2009-04-10,concertos 20th-century piano violin,
mc0981,Charles Ives,Song Sets for Orchestra,"Music Projects/London, London Voices, Richard Bernas, et al",Ogg Vorbis -q 5,New York Public Library,2009-04-10,songs orchestral 19th-century 20th-century,
mc0982,Charles Ives,Symphonies nos. 1 & 2,"Detroit Symphony Orchestra, Neeme Järvi",Ogg Vorbis -q 5,New York Public Library,2009-04-11,symphonies 20th-century,
mc0983,Charles Ives,The Unknown Ives,Donald Berman,Ogg Vorbis -q 5,New York Public Library,2009-04-11,piano solo 19th-century 20th-century,
mc0984,Ernst Krenek,Chamber Selections,Southwest Chamber Music Society,Ogg Vorbis -q 5,New York Public Library,2009-04-11,chamber 20th-century,
mc0985,Ulrich Krieger,Walls of Sound II,Ulrich Krieger,Ogg Vorbis -q 5,New York Public Library,2009-04-11,saxophone solo electronic,"Includes works by Steve Reich, Terry Riley, & Philip Glass."
mc0986,Henry Cowell,Chamber Music,"Trio Phoenix, Rick Kvistad",Ogg Vorbis -q 5,New York Public Library,2009-04-11,20th-century chamber-music,
mc0987,Henry Cowell,"Symphony nos. 16 & 7, Variations for Orchestra","Various orchestras, William Strickland",Ogg Vorbis -q 5,New York Public Library,2009-04-11,orchestral 20th-century symphonies,
mc0988,Sun Ra,The Night of the Purple Moon,"Sun Ra, Intergalactic-Infinity Arkestra",FLAC,BitTorrent,2021-05-03,jazz free-jazz 1960s 1970s,
mc0989,James Tenney,Bridge & Flocking,Various,Ogg Vorbis -q 5,New York Public Library,2009-04-10,20th-century piano chamber,
mc0990,Johann Sebastian Bach,"English Suites, BWV 806--811",András Schiff,Ogg Vorbis -q 5,New York Public Library,2009-04-10,18th-century suites piano,
mc0991,John Cage,The Works for Violin 3 (Two⁴),"Irvine Arditti, Mayumi Miyata, Stephen Drury",Ogg Vorbis -q 5,New York Public Library,2009-04-10,chamber violin piano sho 20th-century,
mc0992,"John Cage, Lou Harrison","Works for Percussion, vol. 1",Amadinda Percussion Group,Ogg Vorbis -q 5,New York Public Library,2009-04-11,chamber percussion 20th-century,"Works by John Cage, except Double Music, by John Cage & Lou Harrison"
mc0993,John Cage,"Works for Percussion, vol. 3 (Four⁴)",Amadinda Percussion Group,Ogg Vorbis -q 5,New York Public Library,2009-04-11,chamber 20th-century percussion,
mc0994,Fenton Robinson,Somebody Loan Me a Dime,"Fenton Robinson, et al",FLAC,Monroe County Library,2018-09-01,blues 1970s,
mc0995,Maurice Ravel,Complete Works for Solo Piano,Jean-Yves Thibaudet,Ogg Vorbis -q 5,New York Public Library,2009-04-11,piano solo 19th-century,
mc0996,Jordi Savall,Mille Regretz: La Canción del Emperador (Carlos V),"La Capella Reial de Catalunya, Jordi Savall",FLAC,BitTorrent,2014-02-04,choral songs masses 15th-century 16th-century,
mc0997,Wolfgang Amadeus Mozart,"String Quintets, vol. 1 (K 516, 593, 546)","Griller String Quartet, William Primrose",Ogg Vorbis -q 5,New York Public Library,2009-04-10,chamber string-quintets 18th-century,
mc0998,Dieterich Buxtehude,"Organ Works, vol. 1",Wolfgang Rübsam,Ogg Vorbis -q 5,Bakalar Library,2009-04-16,organ solo 17th-century,
mc0999,Robert Schumann,"Davidsbündlertänze, op. 6; Fantasiestücke, op. 12",Murray Perahia,Ogg Vorbis -q 5,Bakalar Library,2009-04-16,piano solo 19th-century,
mc1000,Sun Ra,Sleeping Beauty,"Sun Ra, Intergalactic Myth Science Solar Arkestra",FLAC,BitTorrent,2016-09-19,jazz free-jazz 1970s,
mc1001,Sun Ra,Sun Song (Jazz by Sun Ra),"Sun Ra; Arkestra",FLAC,BitTorrent,2016-09-19,jazz free-jazz 1950s,
mc1002,Dieterich Buxtehude,"Organ Works, vol. 2",Wolfgang Rübsam,Ogg Vorbis -q 5,Bakalar Library,2009-04-17,organ solo 17th-century,
mc1003,Dieterich Buxtehude,"Organ Works, vol. 3",Wolfgang Rübsam,Ogg Vorbis -q 5,Bakalar Library,2009-04-17,organ solo 17th-century,
mc1004,Johann Pachelbel,Organ Works,Gerd Wachowski,Ogg Vorbis -q 5,Bakalar Library,2009-04-17,organ solo 17th-century,
mc1005,Franz Schubert,Symphonies nos. 1 & 2,"Kölner Rundfunk-Sinfonie-Orchester, Günter Wand",Ogg Vorbis -q 5,Bakalar Library,2009-04-22,orchestral symphonies 19th-century,
mc1006,Franz Schubert,Symphonies nos. 5 & 6,"Stockholm Sinfonietta, Neeme Järvi",Ogg Vorbis -q 5,Bakalar Library,2009-04-22,orchestral symphonies 19th-century,
mc1007,Franz Schubert,Symphony no. 9,"Kölner Rundfunk-Sinfonie-Orchester, Günter Wand",Ogg Vorbis -q 5,Bakalar Library,2009-04-22,orchestral symphonies 19th-century,
mc1008,Gustav Mahler,Symphony no. 7,"Chicago Symphony Orchestra, Claudio Abbado",Ogg Vorbis -q 5,Bakalar Library,2009-04-22,symphonies orchestral 20th-century,
mc1009,Gustav Mahler,Symphony no. 9,"Berliner Philharmoniker, Claudio Abbado",Ogg Vorbis -q 5,Bakalar Library,2009-04-22,symphonies orchestral 20th-century,
mc1010,Joseph Haydn,"String Quartets, op. 9",Festetics Quartet,Ogg Vorbis -q 5,Bakalar Library,2009-04-22,chamber string-quartets 18th-century,
mc1011,Joseph Haydn,"String Quartets, op. 71 & 74",Griller String Quartet,Ogg Vorbis -q 5,Bakalar Library,2009-04-22,chamber string-quartets 18th-century,
mc1012,Johann Sebastian Bach,"Johannes-Passion, Bwv 245","Collegium Vocale Gent; Orchestre de la Chapelle Royale, Paris; Philippe Herreweghe; et al",Ogg Vorbis -q 5,Bakalar Library,2009-04-22,oratorios choral 18th-century,Minor ripping noise.
mc1013,Gustav Mahler,Symphony no. 8,"Chicago Symphony Orchestra, Georg Solti",Ogg Vorbis -q 5,Bakalar Library,2009-04-24,symphonies 20th-century orchestral,
mc1014,Johann Sebastian Bach,Cantatas BWV 140 & 147,"Concentus Musicus Wien, Tölzer Knabenchor, Nikolaus Harnoncourt",Ogg Vorbis -q 5,Bakalar Library,2009-04-24,cantatas 18th-century,
mc1015,Béla Bartók,The Miraculous Mandarin; Two Portraits,"London Symphony Orchestra, Claudio Abbado",Ogg Vorbis -q 5,Bakalar Library,2009-04-27,20th-century orchestral,
mc1016,Béla Bartók,Six String Quartets,Emerson String Quartet,FLAC,New York Public Library,2010-12-18,chamber 20th-century string-quartets,
mc1017,Igor Stravinsky,Pulcinella; Jeu de Cartes,"London Symphony Orchestra, Claudio Abbado",Ogg Vorbis -q 5,Bakalar Library,2009-04-27,orchestral 20th-century,
mc1018,Steve Reich,Different Trains; Electric Counterpoint,"Kronos Quartet, Pat Metheny",Ogg Vorbis -q 5,Bakalar Library,2009-04-27,chamber solo 20th-century,
